failure_mode,example,ethical_risk,system_response,mitigation_strategy
Ambiguous regulatory language,"Rule contains ""may be permitted"" or ""exceptional circumstances""",Unfair automation of discretionary decisions,LLM flags ambiguity; case escalated to human review,Human-in-the-loop for all ambiguous cases; no auto-decision
Conflicting regulations across hierarchy levels,University policy (70% attendance) conflicts with UGC regulation (75%),Arbitrary outcome selection without clear precedence,Apply hierarchical precedence (L1 > L2 > L3); log conflict,Explicit rule salience scores; conflict explanation in decision trace
Missing or incomplete documentation,Medical certificate claimed but not uploaded,Incorrect denial due to incomplete evidence,Request clarification from student; defer decision,No auto-rejection for missing evidence; committee review required
Policy gap (no applicable regulation),Novel grievance type not covered by existing rules,Unjust decision based on inapplicable rules,"Flag as ""no matching rule""; escalate to committee",Committee creates precedent; rule base updated
Edge-case factual combinations,Attendance exactly at 75.0% threshold,Rigid rule application without contextual judgment,Flag boundary cases; recommend human review,Threshold tolerance zones; committee discretion preserved
Over-reliance on outdated policies,System applies 2019 policy when 2023 policy exists,Incorrect decision based on superseded regulations,Temporal precedence check; flag policy version conflicts,Regular rule base audits; effective date validation
Human override without justification,Committee overrides system recommendation without explanation,Loss of accountability and transparency,Log override; require justification field,Mandatory override documentation; periodic override audits
Inconsistent historical precedents,Similar cases decided differently in the past,Perceived unfairness and lack of consistency,Similar case retrieval; highlight precedent discrepancies,Committee reviews precedents; documents rationale for deviation
Implicit bias in rule formulation,"Rules disadvantage certain student groups (e.g., working students)",Systematic discrimination through policy design,Fairness monitoring; disparity alerts,Regular bias audits; policy reform recommendations
Technical system failure,"Database unavailable, rule engine crash, API timeout",Decision delays or incorrect processing,Graceful degradation; error logging; manual fallback,System monitoring; manual processing procedures; no auto-decisions during outages
