case_id,program,department,semester,marks,attendance_percentage,cgpa,grievance_submission_date,policy_deadline_date,days_since_event,grievance_type,grievance_claim,medical_proof_present,supporting_documents_count,category_certificate_present,income_certificate_present,human_decision,decision_reason_summary,authority_applied,rule_reference_id,conflict_detected,hierarchy_level_applied,salience_score
GRV2024001,BTech,Computer Science,6,72,68.5,7.2,2024-01-15,2024-01-30,5,ATTENDANCE_SHORTAGE,Student claims 68.5% attendance with medical certificate for 15 days hospitalization due to dengue fever,yes,3,no,no,REJECT,Attendance below UGC-mandated 75% minimum. Medical certificate covers only 15 days but attendance is 6.5% below threshold requiring 20+ days coverage,L1_National,UGC_Attendance_75Percent_Minimum,no,L1_National,1500
GRV2024002,BTech,Electrical Engineering,4,45,70.0,6.8,2024-01-18,2024-02-02,8,EXAMINATION_REEVAL,Request revaluation of Power Systems exam. Scored 45/100 which is 5 marks below passing. Result declared 8 days ago,no,1,no,no,ACCEPT,Within 15-day revaluation deadline as per UGC regulations. Fee payment required,L1_National,UGC_Examination_Revaluation_Right,no,L1_National,1800
GRV2024003,MTech,Mechanical Engineering,2,NA,75.0,8.1,2024-01-20,2024-02-05,3,ATTENDANCE_SHORTAGE,Exactly 75% attendance. Requesting confirmation of eligibility for semester exam,no,0,no,no,ACCEPT,Meets UGC minimum 75% attendance requirement exactly. Eligible for semester examination,L1_National,UGC_Attendance_75Percent_Minimum,no,L1_National,1500
GRV2024004,BSc,Physics,5,NA,74.9,7.5,2024-01-22,2024-02-07,2,ATTENDANCE_SHORTAGE,74.9% attendance due to family emergency (father hospitalization). No medical certificate for student,no,2,no,no,REJECT,Attendance 0.1% below UGC 75% threshold. Family emergency documentation does not constitute valid medical excuse for student,L1_National,UGC_Attendance_75Percent_Minimum,no,L1_National,1500
GRV2024005,BBA,Business Administration,3,NA,72.0,6.9,2024-01-25,2024-02-10,12,FEE_WAIVER,SC category student with family income Rs 145000 per year. Requesting full fee waiver,yes,4,yes,yes,ACCEPT,Meets RTE Act 2009 criteria for SC category with income below Rs 200000. Full fee waiver approved,L1_National,Right_To_Education_Fee_Waiver_SC_ST,no,L1_National,2000
GRV2024006,BTech,Civil Engineering,7,38,82.0,7.8,2024-01-28,2024-02-12,6,EXAMINATION_REEVAL,Revaluation request for Structural Analysis. Scored 38/100. Result declared 6 days ago,no,1,no,no,ACCEPT,Within 15-day deadline. Revaluation fee Rs 500 required as per university policy,L3_University,University_Exam_Policy_Reeval_Fee,no,L3_University,800
GRV2024007,MCA,Computer Applications,1,NA,66.0,7.1,2024-02-01,2024-02-16,18,ATTENDANCE_SHORTAGE,66% attendance with valid medical certificate for COVID-19 infection (14 days). District hospital certificate,yes,2,no,no,ACCEPT,Attendance 66% meets UGC medical exception threshold (65%+). Valid medical certificate from recognized authority,L1_National,UGC_Medical_Excuse_Exception,no,L1_National,1600
GRV2024008,BTech,Information Technology,5,NA,73.0,7.4,2024-02-03,2024-02-18,4,ATTENDANCE_SHORTAGE,73% attendance. University policy allows 70% minimum but UGC requires 75%. Requesting clarification,no,1,no,no,REJECT,UGC national regulation (75%) supersedes university policy (70%). L1 authority takes precedence over L3,L1_National,UGC_Attendance_75Percent_Minimum,yes,L1_National,1500
GRV2024009,BSc,Chemistry,6,67,76.0,8.2,2024-02-05,2024-02-20,3,GRADE_APPEAL,Scored 67 marks in Organic Chemistry. A grade boundary is 70 marks. Within 5% margin. Requesting grade review,no,2,no,no,ACCEPT,Within 5% of next grade boundary. University grade appeal policy allows review,L3_University,University_Grade_Appeal_Process,no,L3_University,950
GRV2024010,MBA,Management,3,NA,71.0,7.9,2024-02-08,2024-02-23,7,FEE_INSTALLMENT,Family income Rs 380000. Requesting fee payment in 3 installments. Total fee Rs 95000,no,3,no,yes,ACCEPT,Income below Rs 500000 threshold. No previous installment default. Approved for 3 installments,L3_University,University_Fee_Structure_Installment_Policy,no,L3_University,850
