clause_id,regulation_text,human_label,source,ambiguity_rationale
REG001,"Students must maintain a minimum of 75% attendance to be eligible for semester examinations.",non_ambiguous,UGC Regulations 2018,Explicit threshold with no discretion
REG002,"Students with exceptional circumstances may be granted attendance relaxation at the discretion of the academic committee.",ambiguous,University Statute,"Contains 'exceptional circumstances' (context-dependent) and 'may be granted' (permissive) and 'at the discretion' (subjective)"
REG003,"Re-evaluation requests must be submitted within 15 days of result declaration.",non_ambiguous,UGC Regulations 2018,Clear deadline with no interpretation needed
REG004,"The examination committee may permit re-evaluation if reasonable grounds are demonstrated.",ambiguous,University Examination Manual,"Contains 'may permit' (permissive) and 'reasonable grounds' (subjective)"
REG005,"Students belonging to SC/ST categories with family income below Rs 200000 are eligible for fee waiver.",non_ambiguous,RTE Act 2009,Explicit criteria with quantifiable thresholds
REG006,"Fee installment may be allowed for students facing genuine financial hardship.",ambiguous,University Fee Policy,"Contains 'may be allowed' (permissive) and 'genuine financial hardship' (subjective)"
REG007,"Medical certificates must be issued by a government hospital or recognized medical authority.",non_ambiguous,UGC Medical Policy,Clear institutional requirements
REG008,"Medical excuses will be considered valid if the illness was sufficiently serious to prevent attendance.",ambiguous,University Attendance Policy,"Contains 'sufficiently serious' (subjective) - no quantifiable standard"
REG009,"Grade appeals must be filed within 30 days of grade publication.",non_ambiguous,University Academic Regulations,Explicit timeline
REG010,"Grade changes may be approved if there is substantial evidence of evaluation error.",ambiguous,University Grade Policy,"Contains 'may be approved' (permissive) and 'substantial evidence' (subjective)"
REG011,"Laboratory attendance must be at least 80% for technical programs.",non_ambiguous,NBA Standards 2020,Explicit percentage threshold
REG012,"Students demonstrating adequate progress in research may be granted academic flexibility.",ambiguous,NAAC Guidelines,"Contains 'adequate progress' (subjective) and 'may be granted' (permissive)"
REG013,"Transcripts will be issued within 30 days of request submission.",non_ambiguous,University Administrative Policy,Clear service timeline
REG014,"Transcript delays beyond reasonable timeframes may warrant compensation.",ambiguous,University Service Policy,"Contains 'reasonable timeframes' (subjective) and 'may warrant' (permissive)"
REG015,"Students must score at least 40% to pass an examination.",non_ambiguous,UGC Examination Rules,Explicit passing threshold
REG016,"Borderline cases may be reviewed by the examination board for possible grade adjustment.",ambiguous,University Examination Policy,"Contains 'borderline cases' (context-dependent), 'may be reviewed' (permissive), and 'possible' (uncertain)"
